邮件,com.android.email,false,3.2.16,169103,0,0
换机助手,com.meizu.datamigration,false,2.1.8,74677,33,11.0
DataService,com.meizu.dataservice,false,2.2.8,29436,0,0
视频,com.meizu.media.video,false,7.4.3,305679,28,4.0
计算器,com.meizu.flyme.calculator,false,7.1.5,1148597,53,3.0
主题美化海外版,com.meizu.customizecenter,true,7.1.0-2018082714,148618,0,0
家庭守护,com.meizu.netcontactservice,false,5.6.3,295120,21,10.0
国际流量COS,com.flyme.virtual.softsim,false,1.7.4,15948,0,0
快应用,com.meizu.flyme.directservice,false,2.1.4-1010,498706,0,0
Logreport,com.meizu.logreport,false,3.5.2,26747,0,0
邮件,com.android.email,false,3.2.15,169103,0,0
应用沙盒,com.meizu.pps,false,7.3.13,21961,0,0
应用沙盒,com.meizu.pps,false,7.3.203,47379,0,0
电量管理海外版,com.meizu.battery,true,7.3.102-2018082418,47369,0,0
浏览器,com.android.browser,false,7.6.2,336976,197,27.4
图像服务,com.meizu.media.imageservice,false,1.0.23,996003,7,1.0
换机助手海外版,com.meizu.datamigration,true,2.1.7-2018082417,73285,0,0
音乐,com.meizu.media.music,false,7.2.6,143098,20,11.0
手机管家海外版,com.meizu.safe,true,5.1.90-2018082417,295960,0,0
手机管家海外版,com.meizu.safe,true,5.1.80-2018082417,292870,0,0
资讯,com.meizu.media.reader,false,4.8.0,487346,56,1.0
桌面海外版,com.meizu.flyme.launcher,true,7.1.164-2018082417,78213,0,0
电话,com.android.dialer,false,4.5.4,293155,28,7.1
音乐,com.meizu.media.music,false,7.2.5,143103,0,0
主题美化海外版,com.meizu.customizecenter,true,6.4.3-2018082415,147713,0,0
全局搜索海外版,com.meizu.net.search,true,6.6.0-2018082414,72677,0,0
电话海外版,com.android.dialer,true,4.5.2-2018082414,292842,0,0
个人助理,com.meizu.assistant,false,1.8.10,198491,25,8.0
网络管理工具,com.flyme.netadmin,false,7.0.8,32070,33,3.0
picker,com.meizu.picker,false,1.5.17,236362,0,0
浏览器海外版,com.android.browser,true,7.1.122-2018082410,254719,0,0
主题美化海外版,com.meizu.customizecenter,true,7.1.0-2018082410,148606,0,0
主题美化,com.meizu.customizecenter,false,7.1.11,171249,156,17.0
浏览器,com.android.browser,false,7.6.1,336975,197,27.4
邮件海外版,com.android.email,true,3.2.15-2018082319,169193,0,0
换机助手,com.meizu.datamigration,false,2.1.7,73285,33,11.0
远程协助,com.meizu.remotecooperation,false,4.29.9,77953,7,0
简易模式海外版,com.meizu.flyme.easylauncher,true,7.0.18-2018082315,139580,0,0
WIFI管家,com.meizu.wifiadmin,false,7.0.6,66134,11,0
picker,com.meizu.picker,false,1.4.34,176596,0,0
浏览器海外版,com.android.browser,true,7.1.121-2018082311,254722,0,0
Flyme账号海外版,com.meizu.account,true,6.4.0-2018082311,100927,0,0
Flyme账号,com.meizu.account,false,6.4.0,100919,0,0
开机向导海外版,com.meizu.setup,true,7.2.4-2018082310,32206,0,0
资讯,com.meizu.media.reader,false,4.7.3,486318,104,12.0
文件管理,com.meizu.filemanager,false,7.4.4,166527,9,2.0
视频,com.meizu.media.video,false,7.4.2,305677,0,0
网络管理工具海外版,com.flyme.netadmin,true,7.0.8-2018082217,32070,0,0
魅族输入法,com.meizu.flyme.input,false,7.3.50,72699,9,3.0
魅族输入法,com.meizu.flyme.input,false,7.3.51,72699,0,0
mzbbs,com.meizu.flyme.flymebbs,false,4.0.3,79683,0,0
生活助手,com.meizu.media.life,false,6.7.3,178540,0,0
浏览器海外版,com.android.browser,true,6.9.520-2018082214,242829,0,0
个人助理,com.meizu.assistant,false,1.8.9,198472,25,8.0
钱包,com.meizu.flyme.wallet,false,5.3.4,194839,0,0
手机管家海外版,com.meizu.safe,true,4.5.30-2018082210,295813,0,0
开机向导海外版,com.meizu.setup,true,6.2.7-2018082210,30538,0,0
网络管理工具海外版,com.flyme.netadmin,true,7.0.8-2018082209,32086,0,0
应用商店,com.meizu.mstore,false,7.4.10,200896,191,27.5
浏览器,com.android.browser,false,7.6.0,336955,197,27.4
相机,com.meizu.media.camera,false,8.0.62,142364,61,15.4
图库,com.meizu.media.gallery,false,7.7.10,344844,28,8.0
魅族游戏框架,com.meizu.gamecenter.service,false,4.8.1,162859,0,0
桌面,com.meizu.flyme.launcher,false,7.1.165,77285,0,0
录音机,com.android.soundrecorder,false,7.0.23,63298,66,6.1
Flyme云服务海外版,com.meizu.mzsyncservice,true,7.8.1-2018082117,76758,0,0
Flyme云服务,com.meizu.mzsyncservice,false,7.8.1,76758,2,2.0
浏览器海外版,com.android.browser,true,7.1.121-2018082117,254716,0,0
简易模式,com.meizu.flyme.easylauncher,false,7.0.18,139384,84,9.1
浏览器海外版,com.android.browser,true,7.99.141-2018082115,255352,0,0
生活助手,com.meizu.media.life,false,6.7.2,178540,24,4.0
通讯大数据,com.flyme.telecom.usagedata.service,false,1.2.6,8790,0,0
简易模式,com.meizu.flyme.easylauncher,false,7.0.17,139384,0,0
电话,com.android.dialer,false,4.5.3,292820,28,7.1
免流量快传,com.meizu.share,false,3.0.10,44515,0,0
Flyme云服务海外版,com.meizu.mzsyncservice,true,6.5.0-2018082110,65954,0,0
Flyme云服务,com.meizu.mzsyncservice,false,6.5.0,65954,0,0
开机向导,com.meizu.setup,false,7.2.5,31689,7,4.0
魅族服务,com.meizu.mcare,false,2.2.13,143734,0,0
应用商店,com.meizu.mstore,false,7.4.9,200876,0,0
浏览器海外版,com.android.browser,true,7.99.140-2018082019,260337,0,0
全球流量,com.flyme.roamingpay,false,7.0.8,71568,0,0
Weather,com.meizu.flyme.weather,false,3.2.2,75734,23,6.0
应用商店海外版,com.xrom.intl.appcenter,true,5.2.120-2018082017,278564,0,0
开机向导海外版,com.meizu.setup,true,7.1.2-2018082016,32021,0,0
Flyme云服务海外版,com.meizu.mzsyncservice,true,6.5.0-2018082014,65954,0,0
系统壁纸,com.meizu.systemwallpaper,false,7.0.1,787460,0,0
浏览器海外版,com.android.browser,true,7.99.140-2018082014,260312,0,0
资讯,com.meizu.media.reader,false,4.7.2,486315,104,12.0
应用沙盒,com.meizu.pps,false,7.3.12,21875,0,0
邮件,com.android.email,false,3.2.14,169141,27,4.0
个人助理,com.meizu.assistant,false,1.8.8,198481,25,8.0
应用沙盒,com.meizu.pps,false,7.3.201,47284,0,0
DataService,com.meizu.dataservice,false,2.2.7,29436,0,0
相机,com.meizu.media.camera,false,8.0.61,142080,0,0
creator,com.meizu.creator.launcher,false,1.1.5,96723,0,0
邮件海外版,com.android.email,true,3.2.13-2018081711,169231,0,0
电量管理,com.meizu.battery,false,7.0.6,52612,4,0
邮件,com.android.email,false,3.2.13,169141,0,0
游戏中心,com.meizu.flyme.gamecenter,false,7.3.0,303048,95,15.0
备份恢复海外版,com.meizu.backup,true,3.0.11-2018081710,75451,0,0
应用商店,com.meizu.mstore,false,7.4.8,200804,191,27.5
查找手机服务,com.meizu.flyme.service.find,false,7.0.17_beta,44006,0,0
浏览器海外版,com.android.browser,true,7.1.121-2018081618,254716,0,0
远程协助,com.meizu.remotecooperation,false,4.29.8,77939,7,0
相机,com.meizu.media.camera,false,8.0.60,141583,61,15.4
相机,com.meizu.media.camera,false,8.0.55,141583,0,0
主题美化海外版,com.meizu.customizecenter,true,7.0.12-2018081611,148606,0,0
视频海外版,com.meizu.media.video,true,7.4.1-2018081522,305755,0,0
备份恢复,com.meizu.backup,false,3.0.11,75451,58,0
相机,com.meizu.media.camera,false,8.0.57,142019,0,0
开机向导海外版,com.meizu.setup,true,6.2.7-2018081517,30536,0,0
mzbbs,com.meizu.flyme.flymebbs,false,4.0.2,79607,0,0
便签,com.meizu.notepaper,false,7.2.16,108419,104,18.1
图库海外版,com.meizu.media.gallery,true,6.7.1-2018081516,2676661,0,0
主题美化,com.meizu.customizecenter,false,7.1.10,171109,0,0
魅族服务,com.meizu.mcare,false,2.2.11,143722,0,0
图库海外版,com.meizu.media.gallery,true,6.7.1-2018081511,2676660,0,0
DataService,com.meizu.dataservice,false,2.2.6,10856,0,0
电量管理海外版,com.meizu.battery,true,7.0.6-2018081510,52802,0,0
音乐海外版,com.meizu.media.music,true,7.2.3-2018081510,143067,0,0
日历海外版,com.android.calendar,true,6.8.2-2018081418,127659,0,0
